출동소방서,시점,소방공무원,구급출동건수,구조출동건수,화재출동건수,기타출동건수,구급이송건수,구급이송인원,구조인원,사망,화재발생건수,재산피해경감율,인구,총인구수,면적,면적비율,1년 전 소방공무원
영등포소방서,2012,279,20866,2615,330,1747,13286,13579,1678,64,252,0.991,391408,10195318,24.55,4.06,307
영등포소방서,2013,279,21180,2724,310,1943,13586,13796,978,16,219,0.941,386471,10143645,24.53,4.05,279
영등포소방서,2014,277,23826,1940,334,2191,15095,15289,1302,12,239,0.989,382352,10103233,24.53,4.05,279
영등포소방서,2015,277,24842,1713,390,2315,15225,15494,1353,17,243,0.957,378504,10022181,24.53,4.05,277
영등포소방서,2016,277,26064,1746,411,2459,15188,15392,1312,6,280,0.979,370613,9930616,24.53,4.05,277
영등포소방서,2017,277,26256,1812,266,2472,14865,15138,1430,10,239,0.945,368550,9857426,24.55,4.06,277
영등포소방서,2018,280,26676,1859,283,2338,15494,15670,1381,28,258,0.975,367778,9765623,24.55,4.06,277
영등포소방서,2019,282,26139,2082,307,2114,14674,14842,1546,34,265,0.761,367678,9729107,24.55,4.0,280
영등포소방서,2020,286,23456,2005,284,1840,11335,11340,910,21,225,0.966,379480,9668465,24.55,4.06,282
영등포소방서,2021,299,28347,2274,440,2027,13295,13305,1040,20,208,0.967,376837,9509458,24.55,4.06,286
용산소방서,2007,210,12572,985,282,477,7726,7938,781,15,224,0.0,235832,10192710,21.87,3.61,210
용산소방서,2008,200,12258,878,300,953,7394,7592,493,11,235,0.0,238224,10200827,21.87,3.61,210
용산소방서,2009,211,13127,1033,266,1256,7853,8039,572,8,203,0.0,238708,10208302,21.87,3.61,200
용산소방서,2010,223,13485,1132,201,1607,8117,8306,396,14,160,0.0,244853,10312545,21.87,3.61,211
용산소방서,2011,224,13765,1346,185,1785,8171,8349,504,5,158,0.932,246501,10249679,21.87,3.61,223
용산소방서,2012,241,13627,1672,199,1707,8266,8427,608,5,150,0.984,243232,10195318,21.87,3.61,224
용산소방서,2013,250,13281,1574,222,1599,8225,8344,493,2,170,0.995,239740,10143645,21.87,3.61,241
용산소방서,2014,247,14989,1134,232,1864,9288,9452,611,3,208,0.998,235951,10103233,21.87,3.61,250
용산소방서,2015,250,15686,1010,250,1880,9459,9665,739,14,187,0.969,233342,10022181,21.87,3.61,247
용산소방서,2016,250,16065,1019,255,2127,9479,9644,711,6,197,0.987,230241,9930616,21.87,3.61,250
용산소방서,2017,250,16885,1130,184,2229,9524,9701,753,7,167,0.982,229161,9857426,21.87,3.61,250
용산소방서,2018,250,16899,1192,245,2085,9675,9773,413,4,211,0.985,228999,9765623,21.87,3.61,250
용산소방서,2019,251,16089,1196,263,1617,9163,9259,413,1,238,0.965,228670,9729107,21.87,3.6,250
용산소방서,2020,251,12981,1205,250,1567,6921,6923,188,4,192,0.867,230040,9668465,21.87,3.61,251
용산소방서,2021,251,14920,1461,304,1702,7676,7676,379,0,176,0.927,222953,9509458,21.87,3.61,251
은평소방서,2007,192,13926,1330,362,686,8590,8698,572,11,288,0.0,459196,10192710,29.71,4.91,192
은평소방서,2008,187,13576,1082,346,1292,9005,9106,902,10,224,0.0,458401,10200827,29.69,4.91,192
은평소방서,2009,193,14012,1042,262,2037,9510,9613,762,9,179,0.0,465895,10208302,29.69,4.91,187
은평소방서,2010,195,14266,1267,306,2803,9955,10066,933,5,234,0.0,488109,10312545,29.69,4.91,193
은평소방서,2011,194,14621,1463,306,2684,10122,10263,948,3,250,0.969,493634,10249679,29.69,4.91,195
은평소방서,2012,192,15706,1857,334,3243,11261,11468,871,6,220,0.96,501480,10195318,29.7,4.91,194
은평소방서,2013,193,16624,1692,296,2794,11331,11475,1195,15,211,0.9,503660,10143645,29.7,4.91,192
은평소방서,2014,193,18690,1349,241,3312,12469,12590,641,15,198,0.93,498644,10103233,29.7,4.91,193
은평소방서,2015,242,19164,1298,398,3254,12725,12872,656,25,244,0.955,497920,10022181,29.7,4.91,193
은평소방서,2016,242,21622,1336,331,3483,14076,14222,679,21,217,0.493,491476,9930616,29.7,4.91,242
은평소방서,2017,242,21652,1317,186,3525,13817,13951,721,10,159,0.885,486794,9857426,29.71,4.91,242
은평소방서,2018,242,22749,1321,252,3663,14660,14756,569,11,214,0.94,483197,9765623,29.71,4.91,242
은평소방서,2019,244,21481,1303,231,2864,14475,14578,458,1,196,0.706,480032,9729107,29.71,4.9,242
은평소방서,2020,252,19944,1417,258,2593,12510,12520,405,2,192,0.723,479835,9668465,29.71,4.91,244
은평소방서,2021,253,22823,1570,392,2737,14227,14237,297,1,160,0.639,473307,9509458,29.71,4.91,252
종로소방서,2007,250,15496,1233,296,660,8848,9058,410,5,189,0.0,165846,10192710,23.91,3.95,250
종로소방서,2008,305,15814,988,349,1144,9439,9693,304,3,266,0.0,170705,10200827,23.91,3.95,250
종로소방서,2009,327,16549,925,309,1411,10049,10283,333,3,243,0.0,168603,10208302,23.91,3.95,305
종로소방서,2010,317,16862,1224,245,1973,10222,10435,593,3,184,0.0,170578,10312545,23.91,3.95,327
종로소방서,2011,308,16900,1326,219,1952,10352,10505,723,3,182,0.985,168382,10249679,23.91,3.95,317
종로소방서,2012,294,16813,1657,319,2074,10688,10860,556,2,245,0.943,165207,10195318,23.91,3.95,308
종로소방서,2013,294,16323,1525,287,1997,10107,10247,451,2,254,0.946,160070,10143645,23.91,3.95,294
종로소방서,2014,292,18609,999,257,2650,10774,10888,430,3,239,0.858,156993,10103233,23.91,3.95,294
종로소방서,2015,292,18976,852,329,2658,10894,11062,575,5,260,0.959,154986,10022181,23.91,3.95,292
종로소방서,2016,292,18849,858,349,2671,10850,10980,879,3,276,0.895,152737,9930616,23.91,3.95,292
종로소방서,2017,292,19299,753,247,2755,10959,11148,553,5,234,0.879,154770,9857426,23.91,3.95,292
종로소방서,2018,292,20503,791,283,2248,11469,11581,489,5,254,0.955,153065,9765623,23.91,3.95,292
종로소방서,2019,293,18969,843,253,1889,10628,10746,333,2,232,0.965,151290,9729107,23.91,4.0,292
종로소방서,2020,293,15441,762,281,1669,8021,8026,300,2,217,0.98,149384,9668465,23.91,3.95,293
종로소방서,2021,303,17717,898,355,1911,9013,9020,322,3,192,0.978,144683,9509458,23.91,3.95,293
중랑소방서,2007,193,14254,1018,266,477,10189,10430,506,9,256,0.0,427071,10192710,18.5,3.06,193
중랑소방서,2008,191,13940,864,305,977,9991,10165,424,10,271,0.0,427871,10200827,18.5,3.06,193
중랑소방서,2009,197,14891,934,322,1528,10617,10762,457,10,299,0.0,424761,10208302,18.5,3.06,191
중랑소방서,2010,195,16112,1132,272,1951,11335,11493,299,5,228,0.0,427455,10312545,18.5,3.06,197
중랑소방서,2011,196,15484,1322,224,2135,11131,11281,556,10,219,0.95,423706,10249679,18.5,3.06,195
중랑소방서,2012,236,17353,1711,213,2545,12473,12611,583,7,200,0.982,419295,10195318,18.5,3.06,196
중랑소방서,2013,236,17142,1556,173,2358,12260,12400,583,5,158,0.973,416798,10143645,18.5,3.06,236
중랑소방서,2014,237,19139,1210,204,2521,13836,13968,486,10,193,0.98,418836,10103233,18.5,3.06,236
중랑소방서,2015,245,19665,1073,197,2300,13921,14095,462,4,175,0.985,413909,10022181,18.5,3.06,237
중랑소방서,2016,245,21743,1128,218,2499,15052,15220,646,19,195,0.99,411005,9930616,18.5,3.06,245
중랑소방서,2017,241,22232,1227,205,2630,14923,15099,677,19,196,0.963,408226,9857426,18.5,3.06,245
중랑소방서,2018,241,22907,1201,267,2188,15829,15943,497,12,254,0.983,403209,9765623,18.5,3.06,241
중랑소방서,2019,243,21424,1268,239,1766,14610,14721,483,4,210,0.975,397015,9729107,18.5,3.1,241
중랑소방서,2020,243,19026,1100,259,1741,11823,11838,357,12,225,0.987,394702,9668465,18.5,3.06,243
중랑소방서,2021,244,19719,1443,280,2464,12517,12523,218,3,213,0.989,387350,9509458,18.5,3.0,243
중부소방서,2007,213,13480,739,372,491,8053,8187,343,5,280,0.0,130044,10192710,9.96,1.65,213
중부소방서,2008,259,14187,726,334,886,8335,8525,389,6,256,0.0,130362,10200827,9.96,1.65,213
중부소방서,2009,276,15325,776,307,1248,9122,9266,468,8,251,0.0,129465,10208302,9.96,1.65,259
중부소방서,2010,273,15729,942,296,1529,9084,9220,435,5,237,0.0,132822,10312545,9.96,1.65,276
중부소방서,2011,270,15179,1189,248,1648,9000,9137,375,3,215,0.965,133193,10249679,9.96,1.65,273
중부소방서,2012,271,15517,1576,251,1492,9353,9493,557,5,196,0.887,133360,10195318,9.96,1.65,270
중부소방서,2013,271,15055,1306,235,1568,9234,9338,617,4,190,0.147,130465,10143645,9.96,1.65,271
중부소방서,2014,270,17124,777,260,1706,10327,10465,720,7,233,0.549,128065,10103233,9.96,1.65,271
중부소방서,2015,273,17915,756,313,2039,10058,10193,703,6,237,0.946,125733,10022181,9.96,1.65,270
중부소방서,2016,273,18363,688,264,1919,10232,10344,601,9,210,0.928,125249,9930616,9.96,1.65,273
중부소방서,2017,273,18820,722,221,1876,10233,10385,725,9,198,0.927,125709,9857426,9.96,1.65,273
중부소방서,2018,273,18752,777,303,1618,10758,10831,659,8,275,0.973,125725,9765623,9.96,1.65,273
중부소방서,2019,275,16884,712,232,1347,9872,9957,507,9,213,0.241,126171,9729107,9.96,1.6,273
중부소방서,2020,275,13706,563,203,1146,7154,7157,399,4,185,0.952,125240,9668465,9.96,1.65,275
중부소방서,2021,276,15564,709,261,1671,8195,8203,284,2,171,0.065,122499,9509458,9.96,1.65,275
