출동소방서,시점,소방공무원,구급출동건수,구조출동건수,화재출동건수,기타출동건수,구급이송건수,구급이송인원,구조인원,사망,화재발생건수,재산피해경감율,인구,총인구수,면적,면적비율,1년 전 소방공무원
관악소방서,2008,199,16372,1361,333,1264,10819,10965,676,12,281,0.0,534556,10200827,29.57,4.89,204
관악소방서,2009,205,17754,1489,292,1846,11982,12163,617,15,259,0.0,529869,10208302,29.57,4.89,199
관악소방서,2010,199,17972,1849,268,2578,11948,12108,705,7,211,0.0,531434,10312545,29.57,4.89,205
관악소방서,2011,205,18009,2207,343,2699,12379,12523,949,15,282,0.892,526397,10249679,29.57,4.89,199
관악소방서,2012,214,20764,2648,475,2691,14642,14844,939,12,409,0.903,523029,10195318,29.57,4.89,205
관악소방서,2013,252,21100,2501,389,2576,14594,14705,838,13,299,0.967,518028,10143645,29.57,4.89,214
관악소방서,2014,254,23311,1734,372,2939,16176,16333,890,22,262,0.917,513186,10103233,29.57,4.89,252
관악소방서,2015,256,24229,1608,501,2999,15916,16083,1415,22,285,0.952,509663,10022181,29.57,4.89,254
관악소방서,2016,256,24292,1500,481,3135,16119,16279,1223,15,314,0.968,506851,9930616,29.57,4.89,256
관악소방서,2017,259,24577,1541,354,3187,15904,16149,1080,4,286,0.971,503297,9857426,29.57,4.89,256
관악소방서,2018,262,25510,1709,379,2815,16396,16490,776,8,337,0.924,501957,9765623,29.57,4.89,259
관악소방서,2019,264,24433,1775,373,2344,15804,15942,651,10,311,0.888,500094,9729107,29.57,4.9,262
관악소방서,2020,276,22432,1785,261,2302,13891,13914,490,15,219,0.92,495060,9668465,29.57,4.89,264
관악소방서,2021,274,25764,2193,496,2646,15403,15434,809,15,259,0.921,485699,9509458,29.57,4.89,276
광진소방서,2007,278,21236,1024,309,461,14021,14246,696,45,439,0.0,376572,10192710,17.05,2.82,278
광진소방서,2008,261,21885,1022,253,924,14860,15164,753,39,439,0.0,375482,10200827,17.06,2.82,278
광진소방서,2009,278,23537,1144,275,1272,15708,15960,825,49,518,0.0,373998,10208302,17.06,2.82,261
광진소방서,2010,360,24887,1430,242,1692,16273,16557,919,51,365,0.0,375463,10312545,17.06,2.82,278
광진소방서,2011,357,23922,1600,178,1907,15877,16076,1098,48,331,0.933,371936,10249679,17.06,2.82,360
광진소방서,2012,338,24574,2045,228,2156,16787,17014,905,45,414,0.983,371313,10195318,17.06,2.82,357
광진소방서,2013,336,24007,1848,223,1978,16624,16813,739,14,399,0.997,368927,10143645,17.06,2.82,338
광진소방서,2014,335,28067,1212,253,2040,18872,19095,1668,27,448,0.945,363354,10103233,17.06,2.82,336
광진소방서,2015,348,28667,1059,276,2030,18866,19110,1144,22,438,0.985,360369,10022181,17.06,2.82,335
광진소방서,2016,348,30325,1039,251,2242,19780,20060,1612,18,397,0.986,357215,9930616,17.06,2.82,348
광진소방서,2017,204,24348,1091,209,2100,15258,15529,1352,17,294,0.975,357703,9857426,17.06,2.82,348
광진소방서,2018,204,16270,1072,218,1763,10098,10181,628,9,203,0.95,355559,9765623,17.06,2.82,204
광진소방서,2019,206,15124,1155,236,1650,9592,9698,554,20,195,0.965,351350,9729107,17.06,2.8,204
광진소방서,2020,209,13709,1198,201,1541,8198,8202,315,4,186,0.942,346682,9668465,17.06,2.82,206
광진소방서,2021,219,16881,1471,263,1925,9937,9937,464,10,205,0.869,339996,9509458,17.06,2.82,209
노원소방서,2007,217,18035,1479,306,548,12775,12940,533,9,296,0.0,616753,10192710,35.42,5.85,217
노원소방서,2008,210,18828,1435,325,975,13458,13626,550,8,299,0.0,615981,10200827,35.43,5.85,217
노원소방서,2009,220,20591,1495,376,1545,14506,14709,688,22,335,0.0,610616,10208302,35.44,5.85,210
노원소방서,2010,221,20412,1791,278,2131,14643,14825,1126,17,228,0.0,611230,10312545,35.44,5.85,220
노원소방서,2011,222,20307,1912,216,2295,14312,14495,1066,8,199,0.97,603930,10249679,35.44,5.86,221
노원소방서,2012,230,20988,2268,247,2605,15181,15360,1193,9,234,0.984,597189,10195318,35.44,5.86,222
노원소방서,2013,231,21794,2107,274,2283,15294,15405,1102,3,260,0.988,590479,10143645,35.44,5.86,230
노원소방서,2014,231,23714,1667,299,2636,16825,16948,1177,7,252,0.996,582552,10103233,35.44,5.86,231
노원소방서,2015,275,25980,1567,337,2701,17585,17804,881,15,241,0.98,574583,10022181,35.44,5.85,231
노원소방서,2016,275,26234,1669,337,2714,17997,18200,1498,17,278,0.943,567581,9930616,35.44,5.86,275
노원소방서,2017,269,26132,1598,294,2894,17689,17870,1604,11,279,0.973,554403,9857426,35.44,5.86,275
노원소방서,2018,272,26003,1640,244,2514,18080,18174,951,11,229,0.954,543752,9765623,35.44,5.86,269
노원소방서,2019,273,24982,1557,237,2312,17351,17471,982,12,203,0.982,532905,9729107,35.44,5.9,272
